Sponsor,Composite Ticker,Composite Name,Constituent Ticker,Constituent Name,Weighting,Identifier,Date,Location,Exchange,Total Shares Held,Notional Value,Market Value,Sponsor Sector,Last Trade,Currency,BloombergSymbol,BloombergExchange,BloombergSector,BloombergIndustryGroup,Coupon,Maturity,Rating,Type,SharesOutstanding,MarketCap,Earnings,PE Ratio,Face,eSignalTicker,TimeZone,DividendAmt,LastDividendDate,DividendYield,FutVal,Sector,IndustryGroup,Industry,SubIndustry,CUSIP,ISIN,SEDOL
First Trust,BICK,First Trust BICK Index Fund ETF,'857.HK,PetroChina Co Ltd,0.0098,'857HK,3/14/13,China,Hong Kong,,,,Energy,10.4,HKD,857:HK,Hong Kong,Energy,Oil Comp-Integrated,,,,Global Equity ETF,21098.9,2039501.13,0.71,11.868,,0857-HKG,8,0.1373,9/5/12,3.69,,,,,,,'CNE1000003W8,'6226576
First Trust,BICK,First Trust BICK Index Fund ETF,'SMSN.LI,Samsung Electronics Co Ltd,0.0098,'SMSNLI,3/14/13,England,London Intl,,,,Information Technology,,USD,SMSN:LI,London Intl,Technology,Electronic Compo-Semicon,,,,Global Equity ETF,294.6,205924.45,0,0,,,0,,12/27/12,0.06,,,,,,'796050888,'US7960508882,'4942818
First Trust,BICK,First Trust BICK Index Fund ETF,'1398.HK,Industrial & Commercial Bank of China Ltd,0.0098,'1398HK,3/14/13,China,Hong Kong,,,,Financials,5.27,HKD,1398:HK,Hong Kong,Financial,Commer Banks Non-US,,,,Global Equity ETF,86794.05,1844806.38,0.63,7.0314,,1398-HKG,8,0.1827,6/6/12,4.49,,,,,,,'CNE1000003G1,'B1G1QD8
First Trust,BICK,First Trust BICK Index Fund ETF,'012330.KS,Hyundai Mobis,0.0098,'012330KS,3/14/13,Korea,Korea SE,,,,Consumer Discretionary,303000,KRW,012330:KS,Korea SE,Consumer Cyclical,Auto/Trk Prts&Equip-Orig,,,,Global Equity ETF,97.34,30468630,31671,9.8829,,012330-KOR,9,1,12/27/12,0.61,,,,,,,'KR7012330007,'6449544
First Trust,BICK,First Trust BICK Index Fund ETF,'BRML3.BZ,BR Malls Participacoes SA,0.0098,'BRML3BZ,3/14/13,Brazil,BM&FBOVESPA,,,,Financials,25.45,BRL,BRML3:BZ,BM&FBOVESPA,Financial,Real Estate Mgmnt/Servic,,,,Global Equity ETF,455.3,11919.85,2.1345,12.2654,,BRML3-BSP,-3,0.1507,4/25/12,0.58,,,,,,,'BRBRMLACNOR9,'B1RYG58
First Trust,BICK,First Trust BICK Index Fund ETF,'2601.HK,China Pacific Insurance Group Co Ltd,0.0098,'2601HK,3/14/13,China,Hong Kong,,,,Financials,25.65,HKD,2601:HK,Hong Kong,Financial,Life/Health Insurance,,,,Global Equity ETF,2775.3,232235,0.97,23.2477,,2601-HKG,8,0.315,5/15/12,1.53,,,,,,,'CNE1000009Q7,'B2Q5H56
First Trust,BICK,First Trust BICK Index Fund ETF,'005930.KS,Samsung Electronics Co Ltd,0.0097,'005930KS,3/14/13,Korea,Korea SE,,,,Information Technology,1445000,KRW,005930:KS,Korea SE,Technology,Electronic Compo-Semicon,,,,Global Equity ETF,147.3,227430176,138389,11.157,,005930-KOR,9,7,12/27/12,0.52,,,,,,,'KR7005930003,'6771720
First Trust,BICK,First Trust BICK Index Fund ETF,'034220.KS,LG Display Co Ltd,0.0097,'034220KS,3/14/13,Korea,Korea SE,,,,Information Technology,31950,KRW,034220:KS,Korea SE,Industrial,Electronic Compo-Misc,,,,Global Equity ETF,357.82,10931270,651,46.9278,,034220-KOR,9,,12/29/11,,,,,,,,,'B01VZN9
First Trust,BICK,First Trust BICK Index Fund ETF,'005490.KS,POSCO,0.0094,'005490KS,3/14/13,Korea,Korea SE,,,,Materials,326000,KRW,005490:KS,Korea SE,Basic Materials,Steel-Producers,,,,Global Equity ETF,87.19,30820546,47224,7.4856,,005490-KOR,9,6,12/27/12,2.26,,,,,,,,'6693233
First Trust,BICK,First Trust BICK Index Fund ETF,'914.HK,Anhui Conch Cement Co Ltd,0.0093,'914HK,3/14/13,China,Hong Kong,,,,Materials,24.85,HKD,914:HK,Hong Kong,Industrial,Bldg Prod-Cement/Aggreg,,,,Global Equity ETF,1299.6,136981.27,1.61,14.5547,,0914-HKG,8,0.315,6/7/12,1.47,,,,,,,,'6080396
